ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.02 	 10 	 0	0.016	882.359	8
 10 	 0.2 	 0.02 	 10 	 1	0.016	918.049	8
 10 	 0.2 	 0.02 	 10 	 2	0.015	897.169	1
 10 	 0.2 	 0.02 	 10 	 3	0.016	1224.78	11
 10 	 0.2 	 0.02 	 10 	 4	0.016	693.478	4
 10 	 0.2 	 0.02 	 10 	 5	0.015	1128.76	9
 10 	 0.2 	 0.02 	 10 	 6	0.016	1443.06	10
 10 	 0.2 	 0.02 	 10 	 7	0.015	1179.26	12
 10 	 0.2 	 0.02 	 10 	 8	0.016	652.632	9
 10 	 0.2 	 0.02 	 10 	 9	0.016	1359.81	10
 10 	 0.2 	 0.02 	 10 	 10	0.015	812.828	11
 10 	 0.2 	 0.02 	 10 	 11	0.016	1548.01	5
 10 	 0.2 	 0.02 	 10 	 12	0	908.829	4
 10 	 0.2 	 0.02 	 10 	 13	0.015	1051.18	9
 10 	 0.2 	 0.02 	 10 	 14	0.016	941.893	6
 10 	 0.2 	 0.02 	 10 	 15	0.015	726.757	3
 10 	 0.2 	 0.02 	 10 	 16	0	453.401	6
 10 	 0.2 	 0.02 	 10 	 17	0.016	274.458	0
 10 	 0.2 	 0.02 	 10 	 18	0	620.541	3
 10 	 0.2 	 0.02 	 10 	 19	0.016	1138.4	10
 10 	 0.2 	 0.02 	 10 	 20	0.015	892.676	11
 10 	 0.2 	 0.02 	 10 	 21	0.016	1041.81	9
 10 	 0.2 	 0.02 	 10 	 22	0.016	657.976	8
 10 	 0.2 	 0.02 	 10 	 23	0.015	1247.93	9
 10 	 0.2 	 0.02 	 10 	 24	0.016	644.502	5
 10 	 0.2 	 0.02 	 10 	 25	0.015	1017.76	11
 10 	 0.2 	 0.02 	 10 	 26	0.016	377.599	4
 10 	 0.2 	 0.02 	 10 	 27	0.016	1139.04	7
 10 	 0.2 	 0.02 	 10 	 28	0	931.919	6
 10 	 0.2 	 0.02 	 10 	 29	0.015	291.646	5
 10 	 0.2 	 0.02 	 10 	 30	0.016	1130.75	9
 10 	 0.2 	 0.02 	 10 	 31	0.016	546.957	9
 10 	 0.2 	 0.02 	 10 	 32	0.015	588.538	6
 10 	 0.2 	 0.02 	 10 	 33	0.016	1075.67	7
 10 	 0.2 	 0.02 	 10 	 34	0	759.164	3
 10 	 0.2 	 0.02 	 10 	 35	0.015	817.425	8
 10 	 0.2 	 0.02 	 10 	 36	0.016	339.595	5
 10 	 0.2 	 0.02 	 10 	 37	0.016	890.548	7
 10 	 0.2 	 0.02 	 10 	 38	0.015	1569.84	15
 10 	 0.2 	 0.02 	 10 	 39	0.016	1036.69	9
 10 	 0.2 	 0.02 	 10 	 40	0.016	1156.25	9
 10 	 0.2 	 0.02 	 10 	 41	0	626.079	6
 10 	 0.2 	 0.02 	 10 	 42	0.015	1244.35	11
 10 	 0.2 	 0.02 	 10 	 43	0	837.288	0
 10 	 0.2 	 0.02 	 10 	 44	0	1057.37	8
 10 	 0.2 	 0.02 	 10 	 45	0	1023.76	3
 10 	 0.2 	 0.02 	 10 	 46	0	691.832	3
 10 	 0.2 	 0.02 	 10 	 47	0	1212.92	8
 10 	 0.2 	 0.02 	 10 	 48	0.016	1198.34	9
 10 	 0.2 	 0.02 	 10 	 49	0	920.583	6

-----------------------
 10 	 0.2 	 0.02 	 20 	 0	0.032	2046.32	17
 10 	 0.2 	 0.02 	 20 	 1	0	1524.88	6
 10 	 0.2 	 0.02 	 20 	 2	0.063	1891.02	17
 10 	 0.2 	 0.02 	 20 	 3	0.031	1265.81	12
 10 	 0.2 	 0.02 	 20 	 4	0.047	1593.8	11
 10 	 0.2 	 0.02 	 20 	 5	0.109	3205.89	18
 10 	 0.2 	 0.02 	 20 	 6	0.031	1415.82	16
 10 	 0.2 	 0.02 	 20 	 7	0.094	3308.69	22
 10 	 0.2 	 0.02 	 20 	 8	0.063	2562.9	20
 10 	 0.2 	 0.02 	 20 	 9	0.015	759.373	9
 10 	 0.2 	 0.02 	 20 	 10	0.032	1906.09	17
 10 	 0.2 	 0.02 	 20 	 11	0.062	2177.27	14
 10 	 0.2 	 0.02 	 20 	 12	0.015	738.038	8
 10 	 0.2 	 0.02 	 20 	 13	0.032	2545.8	8
 10 	 0.2 	 0.02 	 20 	 14	0.031	1234.25	13
 10 	 0.2 	 0.02 	 20 	 15	0.016	2158.56	15
 10 	 0.2 	 0.02 	 20 	 16	0.031	1913.42	19
 10 	 0.2 	 0.02 	 20 	 17	0.046	1820.31	21
 10 	 0.2 	 0.02 	 20 	 18	0.031	1572.87	17
 10 	 0.2 	 0.02 	 20 	 19	0.016	1685.82	12
 10 	 0.2 	 0.02 	 20 	 20	0.047	2084.04	17
 10 	 0.2 	 0.02 	 20 	 21	0.031	1596.11	13
 10 	 0.2 	 0.02 	 20 	 22	0.047	1251.42	15
 10 	 0.2 	 0.02 	 20 	 23	0.047	1834.43	13
 10 	 0.2 	 0.02 	 20 	 24	0.031	1334.59	15
 10 	 0.2 	 0.02 	 20 	 25	0.047	1519.73	15
 10 	 0.2 	 0.02 	 20 	 26	0.031	1822	17
 10 	 0.2 	 0.02 	 20 	 27	0.031	1629.22	9
 10 	 0.2 	 0.02 	 20 	 28	0.047	1673.48	19
 10 	 0.2 	 0.02 	 20 	 29	0.047	1596.9	18
 10 	 0.2 	 0.02 	 20 	 30	0.016	1963.22	13
 10 	 0.2 	 0.02 	 20 	 31	0.031	1775.23	3
 10 	 0.2 	 0.02 	 20 	 32	0.016	1719.31	13
 10 	 0.2 	 0.02 	 20 	 33	0.032	1556.78	18
 10 	 0.2 	 0.02 	 20 	 34	0.062	1962.52	19
 10 	 0.2 	 0.02 	 20 	 35	0.016	1216.52	11
 10 	 0.2 	 0.02 	 20 	 36	0.016	1689.77	13
 10 	 0.2 	 0.02 	 20 	 37	0.031	1532.2	14
 10 	 0.2 	 0.02 	 20 	 38	0.016	709.316	11
